time,pm2_5,pm10,co,no2,so2,o3
2026-06-09T11:00,3.5,4.3,387.0,11.1,3.2,63.0
2026-06-09T12:00,4.9,5.3,429.0,14.4,3.6,54.0
2026-06-09T13:00,4.4,4.7,421.0,15.2,4.0,48.0
2026-06-09T14:00,4.4,4.6,387.0,14.7,4.3,43.0
2026-06-09T15:00,4.3,4.4,355.0,14.0,4.5,39.0
2026-06-09T16:00,4.1,4.2,339.0,13.3,4.5,38.0
2026-06-09T17:00,3.9,4.0,326.0,12.5,4.3,38.0
2026-06-09T18:00,3.5,3.6,305.0,11.4,4.1,39.0
2026-06-09T19:00,2.9,3.0,267.0,10.0,3.9,40.0
2026-06-09T20:00,2.7,2.8,221.0,8.5,3.7,40.0
2026-06-09T21:00,2.5,2.6,188.0,7.4,3.6,41.0
2026-06-09T22:00,2.4,2.5,167.0,6.9,3.6,41.0
2026-06-09T23:00,2.4,2.4,158.0,6.7,3.7,40.0
2026-06-10T00:00,2.5,2.5,187.0,6.9,3.8,40.0
2026-06-10T01:00,3.2,3.2,295.0,7.7,3.9,40.0
2026-06-10T02:00,4.1,4.2,440.0,8.9,4.0,40.0
2026-06-10T03:00,3.7,4.2,518.0,9.1,3.9,43.0
2026-06-10T04:00,4.1,6.1,460.0,7.4,3.5,52.0
2026-06-10T05:00,5.3,8.8,335.0,4.8,3.0,65.0
2026-06-10T06:00,5.8,10.4,244.0,3.3,2.6,73.0
2026-06-10T07:00,5.6,10.4,224.0,3.6,2.5,74.0
2026-06-10T08:00,5.1,8.8,239.0,4.9,2.6,71.0
2026-06-10T09:00,5.7,8.7,277.0,7.3,2.7,65.0
2026-06-10T10:00,6.1,8.1,356.0,11.6,2.9,56.0
2026-06-10T11:00,6.3,7.4,458.0,17.0,3.2,45.0
2026-06-10T12:00,6.0,6.8,523.0,20.8,3.5,37.0
2026-06-10T13:00,6.4,6.9,517.0,21.7,4.0,34.0
2026-06-10T14:00,6.6,7.0,474.0,20.9,4.6,33.0
2026-06-10T15:00,6.0,6.3,428.0,19.9,5.0,33.0
2026-06-10T16:00,5.8,6.1,391.0,19.1,5.0,32.0
2026-06-10T17:00,5.6,5.9,352.0,18.0,4.7,32.0
2026-06-10T18:00,5.0,5.2,312.0,16.6,4.5,32.0
2026-06-10T19:00,4.4,4.7,265.0,14.5,4.3,33.0
2026-06-10T20:00,4.0,4.4,217.0,11.9,4.1,35.0
2026-06-10T21:00,3.9,4.5,182.0,10.0,3.9,37.0
2026-06-10T22:00,3.9,4.8,161.0,8.7,3.8,38.0
2026-06-10T23:00,3.8,5.0,152.0,8.0,3.8,40.0
2026-06-11T00:00,3.8,5.1,171.0,8.5,3.9,40.0
2026-06-11T01:00,4.8,6.3,244.0,11.4,4.2,38.0
2026-06-11T02:00,6.3,8.4,344.0,15.5,4.7,35.0
2026-06-11T03:00,7.3,9.6,401.0,17.9,5.1,34.0
2026-06-11T04:00,6.8,10.0,370.0,16.7,5.3,37.0
2026-06-11T05:00,7.2,9.3,295.0,13.7,5.4,43.0
2026-06-11T06:00,6.8,8.6,240.0,11.3,5.3,48.0
2026-06-11T07:00,6.4,8.9,216.0,10.2,4.9,52.0
2026-06-11T08:00,6.8,10.0,213.0,9.6,4.3,57.0
2026-06-11T09:00,7.6,11.6,260.0,10.2,3.9,59.0
2026-06-11T10:00,9.4,15.1,408.0,12.6,3.8,59.0
2026-06-11T11:00,11.7,19.5,607.0,16.0,3.9,57.0
2026-06-11T12:00,12.1,19.3,736.0,19.1,4.2,54.0
2026-06-11T13:00,11.0,16.1,731.0,21.5,4.7,50.0
2026-06-11T14:00,11.1,15.3,655.0,23.5,5.3,46.0
2026-06-11T15:00,12.1,15.7,581.0,24.5,5.7,42.0
2026-06-11T16:00,12.3,15.4,535.0,24.1,5.8,38.0
2026-06-11T17:00,11.3,13.7,490.0,22.7,5.7,34.0
2026-06-11T18:00,9.4,11.2,438.0,20.5,5.4,32.0
2026-06-11T19:00,7.7,9.3,369.0,17.1,4.9,32.0
2026-06-11T20:00,6.5,8.3,293.0,13.0,4.3,34.0
2026-06-11T21:00,5.9,7.9,235.0,9.9,3.9,36.0
2026-06-11T22:00,5.6,7.8,207.0,8.4,3.8,37.0
2026-06-11T23:00,5.4,7.7,198.0,7.9,3.8,37.0
2026-06-12T00:00,5.3,7.7,186.0,7.9,3.9,37.0
2026-06-12T01:00,5.7,7.9,184.0,8.8,4.2,37.0
2026-06-12T02:00,5.8,8.3,202.0,10.3,4.5,36.0
2026-06-12T03:00,6.0,8.1,220.0,10.8,4.6,39.0
2026-06-12T04:00,6.5,13.5,207.0,9.2,4.2,47.0
2026-06-12T05:00,6.7,14.6,179.0,6.6,3.5,57.0
2026-06-12T06:00,7.9,17.1,159.0,4.7,2.9,66.0
2026-06-12T07:00,9.0,19.3,153.0,4.0,2.6,71.0
2026-06-12T08:00,9.9,21.4,153.0,3.9,2.4,75.0
2026-06-12T09:00,10.3,22.9,161.0,4.9,2.3,76.0
2026-06-12T10:00,10.3,23.6,182.0,7.7,2.5,73.0
2026-06-12T11:00,11.2,21.9,210.0,11.6,2.8,68.0
2026-06-12T12:00,10.0,17.1,230.0,14.4,3.0,64.0
2026-06-12T13:00,,,,,,
2026-06-12T14:00,,,,,,
2026-06-12T15:00,,,,,,
2026-06-12T16:00,,,,,,
2026-06-12T17:00,,,,,,
2026-06-12T18:00,,,,,,
2026-06-12T19:00,,,,,,
2026-06-12T20:00,,,,,,
2026-06-12T21:00,,,,,,
2026-06-12T22:00,,,,,,
2026-06-12T23:00,,,,,,
